Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction
53,759,5,4,5,3,3,5,5,4,4,5,4,3,4,3,4,4,1,4,4,1,4,1,4,satisfied
39,2195,4,4,3,4,5,4,4,5,5,5,5,3,5,3,4,4,4,1,1,4,1,4,4,satisfied
47,142,2,2,2,2,5,4,5,4,4,4,4,3,4,3,4,1,4,1,1,4,1,4,4,satisfied
7,1491,1,4,1,3,4,1,4,4,3,2,2,3,3,4,4,4,4,1,4,1,4,4,1,neutral or dissatisfied
8,216,5,4,5,4,5,5,5,5,3,2,4,2,4,5,4,4,1,4,4,1,4,1,4,satisfied
24,1452,2,3,3,3,2,3,3,2,2,1,4,1,4,2,18,14,4,1,1,4,4,4,1,neutral or dissatisfied
35,2422,3,4,2,4,5,3,4,3,3,3,3,4,3,2,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
24,491,1,4,1,1,4,1,4,4,5,5,4,5,4,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
53,2475,5,5,5,5,3,4,5,5,5,5,5,5,5,4,3,4,4,1,1,4,1,4,4,satisfied
16,2248,4,3,4,2,2,4,2,2,3,2,4,3,4,2,4,4,1,4,1,4,4,4,1,satisfied
32,2677,2,1,1,1,2,2,2,2,3,3,2,1,3,2,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
52,2218,3,3,3,3,5,4,4,3,3,4,3,4,3,5,4,4,1,4,1,4,1,4,4,satisfied
37,239,3,3,3,4,1,3,1,1,4,4,4,4,3,1,14,24,4,1,1,4,4,1,4,neutral or dissatisfied
24,1368,3,2,2,2,3,3,3,3,2,1,3,2,3,3,95,74,4,1,1,4,1,4,4,neutral or dissatisfied
64,2467,3,3,3,3,3,5,4,4,4,4,4,5,4,5,4,4,1,4,1,4,1,4,4,satisfied
16,445,3,4,3,3,3,3,3,3,5,4,5,2,4,3,43,26,4,1,4,1,4,1,4,neutral or dissatisfied
46,1416,3,3,3,3,5,5,4,5,5,5,5,5,5,5,14,4,4,1,1,4,1,4,4,satisfied
46,728,1,4,1,1,3,1,3,3,1,4,3,4,3,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
44,212,5,3,3,3,5,5,5,5,4,1,2,4,3,5,15,8,1,4,1,4,4,1,4,satisfied
9,569,3,4,3,5,3,3,3,3,5,5,4,3,5,3,3,4,4,1,4,1,4,1,4,neutral or dissatisfied
25,344,3,3,2,3,3,3,3,3,3,1,3,3,3,3,4,19,1,4,1,4,1,4,4,neutral or dissatisfied
26,214,2,2,2,4,2,2,2,2,3,4,3,1,4,2,55,48,1,4,1,4,4,1,4,neutral or dissatisfied
45,1743,5,5,5,5,5,4,4,5,5,4,5,4,5,4,46,55,4,1,1,4,1,4,4,satisfied
19,247,2,2,1,1,2,2,2,2,1,4,4,2,4,2,31,21,4,1,1,4,4,4,1,neutral or dissatisfied
48,1337,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,1,1,4,1,4,4,satisfied
48,888,2,2,2,2,3,5,5,5,5,5,5,5,5,5,4,4,4,1,1,4,1,4,4,satisfied
33,599,2,4,2,3,3,3,3,3,3,2,3,5,3,2,4,7,1,4,4,1,1,4,4,neutral or dissatisfied
9,2182,3,2,3,3,4,3,4,4,4,5,3,4,4,4,27,18,4,1,4,1,4,1,4,neutral or dissatisfied
44,597,4,5,5,5,4,4,4,4,1,2,2,4,3,4,14,6,4,1,1,4,4,1,4,neutral or dissatisfied
42,785,1,5,2,2,1,2,1,1,4,3,4,5,5,1,22,23,4,1,4,1,4,1,4,neutral or dissatisfied
49,345,3,4,4,4,2,3,2,2,1,3,4,1,4,2,35,25,4,1,1,4,4,1,4,neutral or dissatisfied
48,2828,5,5,5,5,1,2,4,3,3,3,3,4,3,4,4,15,1,4,1,4,1,4,4,satisfied
28,1585,1,1,1,3,2,1,5,2,1,5,4,1,3,2,5,3,1,4,1,4,4,4,1,neutral or dissatisfied
59,3298,2,2,2,2,3,4,4,4,4,4,4,3,4,5,1,4,1,4,1,4,1,4,4,satisfied
31,1121,3,3,3,3,4,4,4,4,5,4,5,4,5,4,1,12,4,1,1,4,1,4,4,satisfied
29,456,4,3,4,5,3,4,5,3,1,1,2,4,4,3,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
64,1124,5,1,1,1,5,5,5,5,3,3,5,4,2,5,12,4,4,1,1,4,4,1,4,satisfied
9,284,3,5,3,3,5,3,5,5,4,2,4,3,4,5,4,4,4,1,4,1,4,4,1,neutral or dissatisfied
13,978,2,4,2,3,2,2,1,2,4,3,4,4,4,2,4,4,4,1,4,1,4,4,1,neutral or dissatisfied
53,143,2,4,2,3,5,2,5,5,4,2,4,5,3,5,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
24,811,3,3,3,3,5,3,5,5,3,2,5,4,4,5,39,33,1,4,1,4,4,1,4,neutral or dissatisfied
53,239,2,2,2,2,4,5,5,5,5,5,5,3,5,3,4,4,4,1,1,4,1,4,4,satisfied
44,1893,3,3,3,3,3,5,5,5,5,5,5,3,5,3,4,2,1,4,1,4,1,4,4,satisfied
37,151,1,4,4,4,1,2,1,1,1,3,4,4,4,1,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
59,1145,2,3,2,5,3,2,3,3,5,5,5,4,2,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
58,377,3,1,1,1,3,3,3,3,3,1,3,1,4,3,67,96,4,1,1,4,4,1,4,neutral or dissatisfied
19,369,2,4,5,3,2,5,1,2,1,3,3,3,4,2,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
68,2171,2,2,2,2,4,5,5,4,4,4,4,3,4,4,9,8,4,1,1,4,1,4,4,satisfied
14,882,2,2,2,3,1,2,1,1,1,4,3,1,4,1,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
53,834,1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8,4,1,1,4,4,1,4,neutral or dissatisfied
49,867,4,1,1,1,4,4,4,4,5,3,4,4,1,4,4,4,4,1,1,4,4,1,4,satisfied
44,1959,3,3,3,3,4,4,4,4,3,5,5,4,5,4,249,191,4,1,1,4,1,4,4,satisfied
25,1599,2,1,1,1,2,2,2,2,2,3,4,2,4,2,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
36,522,2,4,2,1,2,2,2,2,4,2,5,4,4,2,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
36,711,2,2,2,3,3,2,3,3,2,2,3,2,4,3,24,9,1,4,1,4,4,4,1,neutral or dissatisfied
34,1739,3,3,3,3,2,5,3,5,5,5,5,2,5,5,4,4,1,4,1,4,1,4,4,satisfied
18,964,3,3,3,1,3,3,3,3,2,2,5,4,3,3,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
21,447,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19,1,4,4,1,4,1,4,neutral or dissatisfied
78,842,2,4,4,4,2,2,2,2,3,2,4,3,4,2,66,52,4,1,1,4,4,1,4,neutral or dissatisfied
7,481,4,5,4,3,1,4,1,1,1,5,2,2,2,1,2,4,1,4,4,1,4,1,4,satisfied
49,1121,4,4,4,2,4,4,4,4,1,3,5,2,1,4,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
8,421,3,3,4,2,3,4,3,3,1,4,2,1,3,3,2,4,1,4,4,1,4,1,4,neutral or dissatisfied
74,971,5,4,5,4,4,5,4,4,5,4,5,5,4,4,4,4,4,1,4,1,4,1,4,satisfied
54,3556,3,3,3,3,5,5,4,2,2,2,2,4,2,5,2,4,1,4,1,4,1,4,4,satisfied
22,311,4,4,4,3,2,4,2,2,2,5,3,2,5,2,4,4,4,1,1,4,4,1,4,satisfied
56,125,2,2,2,2,4,4,4,2,2,2,2,2,2,4,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
28,293,4,5,4,1,2,4,2,2,3,3,5,4,4,2,14,11,1,4,4,1,4,1,4,neutral or dissatisfied
24,377,1,2,1,3,3,1,3,3,2,3,3,3,3,3,85,75,4,1,4,1,4,1,4,neutral or dissatisfied
25,454,2,3,2,4,1,2,1,1,5,2,3,5,5,1,15,9,1,4,1,4,4,1,4,neutral or dissatisfied
27,1471,4,4,4,3,4,4,4,4,5,2,4,3,4,4,24,6,1,4,1,4,1,4,4,satisfied
48,229,3,4,3,3,4,3,4,4,4,2,4,4,5,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
64,1587,2,5,5,5,1,3,4,2,2,2,2,3,2,3,7,4,1,4,1,4,1,4,4,neutral or dissatisfied
26,251,1,5,1,4,5,1,3,5,3,2,4,5,5,5,5,4,1,4,1,4,1,4,4,neutral or dissatisfied
54,3637,2,4,4,4,2,4,3,1,1,1,2,3,1,2,6,4,1,4,1,4,1,4,4,neutral or dissatisfied
66,374,2,4,2,5,2,3,1,5,5,2,5,3,5,4,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
42,529,2,5,5,5,2,2,2,2,2,3,4,4,4,2,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
64,895,4,5,4,4,3,4,5,3,3,4,3,3,3,3,42,69,1,4,4,1,4,1,4,neutral or dissatisfied
54,261,2,2,2,2,2,5,4,4,4,4,4,2,4,3,4,4,4,1,1,4,1,4,4,satisfied
25,3647,3,3,2,3,3,3,3,3,3,4,3,2,3,3,4,3,1,4,1,4,1,4,4,neutral or dissatisfied
62,994,2,4,2,4,3,2,3,3,4,4,5,3,4,3,6,4,4,1,4,1,4,1,4,neutral or dissatisfied
25,3612,1,1,1,1,5,5,5,5,3,4,4,3,5,5,4,3,4,1,1,4,1,4,4,satisfied
44,2155,4,5,4,4,1,1,2,5,5,5,5,2,5,4,4,4,4,1,1,4,1,4,4,satisfied
45,346,3,4,3,3,3,5,4,2,2,3,2,4,2,5,4,4,4,1,4,1,1,4,4,neutral or dissatisfied
72,2975,2,2,2,2,3,4,3,4,4,4,4,4,4,2,4,4,4,1,1,4,1,4,4,satisfied
23,2133,1,2,1,3,3,1,3,3,2,3,1,4,3,3,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
43,758,1,5,1,2,4,1,4,4,4,4,5,4,5,4,7,3,4,1,4,1,4,1,4,neutral or dissatisfied
64,2836,1,1,1,1,2,5,4,4,4,4,4,3,4,5,6,4,1,4,1,4,1,4,4,satisfied
33,777,1,5,1,5,1,1,1,1,3,4,5,4,4,1,6,4,4,1,4,1,4,1,4,neutral or dissatisfied
27,457,3,3,3,4,5,3,5,5,1,1,4,4,4,5,4,9,1,4,4,1,4,1,4,neutral or dissatisfied
11,554,1,2,1,2,4,1,4,4,2,1,3,2,3,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
49,1562,1,5,5,5,4,3,4,1,1,1,1,3,1,3,59,42,4,1,1,4,1,4,4,neutral or dissatisfied
23,489,3,2,3,3,1,3,1,1,2,5,3,2,3,1,51,49,4,1,1,4,4,1,4,neutral or dissatisfied
56,2226,5,5,5,5,4,4,5,4,4,5,4,4,4,3,4,24,4,1,1,4,1,4,4,satisfied
37,247,4,2,2,2,5,4,3,4,4,4,4,2,4,1,4,4,4,1,1,4,1,4,4,neutral or dissatisfied
25,1448,1,4,1,2,2,1,2,2,4,2,4,3,5,2,15,1,4,1,4,1,4,1,4,neutral or dissatisfied
46,947,2,3,3,3,4,4,3,2,2,2,2,2,2,3,3,7,1,4,1,4,4,1,4,neutral or dissatisfied
68,143,3,2,3,4,2,3,2,2,2,2,4,4,3,2,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
66,3794,3,3,3,3,5,3,4,3,3,3,3,4,3,3,4,6,4,1,1,4,1,4,4,neutral or dissatisfied
12,957,3,3,3,3,4,3,4,4,1,1,3,1,3,4,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
21,281,4,4,4,5,1,4,1,1,4,4,4,5,4,1,4,2,4,1,1,4,1,4,4,satisfied
34,327,4,5,5,5,2,2,3,4,4,4,4,2,4,3,34,24,4,1,1,4,1,4,4,neutral or dissatisfied
59,2727,1,4,4,4,3,1,1,1,1,1,1,2,1,1,15,8,1,4,1,4,1,4,4,neutral or dissatisfied
21,84,5,4,5,2,5,5,5,1,5,4,1,5,5,5,294,324,4,1,1,4,4,1,4,satisfied
65,1969,1,5,1,3,1,1,1,1,4,5,5,5,5,1,67,43,4,1,4,1,4,1,4,neutral or dissatisfied
33,241,3,2,2,1,4,2,4,4,4,2,5,3,4,4,65,144,4,1,1,4,1,4,4,neutral or dissatisfied
37,1399,1,5,1,3,3,1,3,3,3,2,5,5,4,3,3,4,4,1,4,1,4,1,4,neutral or dissatisfied
53,2923,1,1,1,1,2,4,5,4,4,4,4,3,4,3,4,4,4,1,1,4,1,4,4,satisfied
24,1414,4,1,4,4,5,4,2,5,4,5,4,3,5,5,4,4,1,4,1,4,1,4,4,satisfied
35,925,3,4,3,2,3,3,3,3,3,4,4,3,4,3,2,4,4,1,4,1,4,1,4,neutral or dissatisfied
11,725,3,3,3,3,1,3,1,1,1,5,1,4,3,1,4,14,1,4,4,1,4,1,4,neutral or dissatisfied
47,1979,3,3,3,3,4,5,5,5,5,5,5,3,5,3,4,4,4,1,1,4,1,4,4,satisfied
28,752,4,4,3,4,4,4,4,4,3,5,4,4,1,4,24,44,4,1,1,4,1,4,4,satisfied
54,469,2,4,4,4,5,4,4,2,2,2,2,2,2,3,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
34,899,1,2,2,3,2,2,2,2,3,4,4,3,3,2,23,21,1,4,1,4,4,1,4,neutral or dissatisfied
63,1235,3,5,5,5,3,4,3,3,3,3,3,3,3,4,39,24,1,4,1,4,1,4,4,neutral or dissatisfied
49,657,1,1,1,1,3,5,5,5,5,5,5,4,5,4,4,4,1,4,1,4,1,4,4,satisfied
41,416,4,4,4,4,4,4,4,4,4,1,5,5,2,4,4,4,4,1,1,4,4,1,4,satisfied
37,244,3,4,3,4,4,3,4,4,2,1,3,4,5,4,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
28,1598,5,5,5,5,4,4,4,4,5,3,3,3,5,4,4,4,1,4,1,4,1,4,4,satisfied
31,247,1,4,1,2,4,1,4,4,5,3,5,5,5,4,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
38,548,4,4,4,1,5,4,5,5,1,5,4,2,4,5,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
51,1445,4,4,4,3,5,4,5,5,3,4,1,1,1,5,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
56,1599,1,1,1,1,4,5,5,4,4,4,4,3,4,5,4,4,4,1,1,4,1,4,4,satisfied
59,3621,4,4,4,4,5,4,4,4,4,4,4,4,4,3,4,4,1,4,1,4,1,4,4,satisfied
24,526,2,2,3,3,2,3,2,2,2,4,3,1,3,2,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
38,183,3,1,3,3,1,3,1,1,4,5,4,4,3,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
44,247,4,4,5,4,3,5,4,5,5,5,5,4,5,4,4,4,4,1,1,4,1,4,4,satisfied
19,292,2,5,2,1,3,2,3,3,4,5,4,5,4,3,3,4,4,1,4,1,4,4,1,neutral or dissatisfied
58,3441,5,5,5,5,4,4,5,5,5,5,5,3,5,5,4,4,4,1,1,4,1,4,4,satisfied
41,239,2,2,2,2,4,5,5,4,4,4,4,5,4,5,2,4,1,4,1,4,1,4,4,satisfied
43,594,4,4,4,4,4,4,4,4,5,3,5,5,4,4,11,4,1,4,1,4,1,4,4,neutral or dissatisfied
46,1476,1,5,1,3,5,1,5,5,4,5,4,3,4,5,24,18,4,1,4,1,4,1,4,neutral or dissatisfied
7,1262,1,1,1,3,1,1,2,1,2,3,2,4,3,1,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
24,2116,1,3,3,3,1,1,1,1,3,3,4,3,4,1,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
32,417,4,2,4,4,4,5,5,1,5,3,3,5,3,5,168,152,4,1,1,4,4,1,4,neutral or dissatisfied
54,3211,3,3,3,3,4,5,4,2,2,2,2,5,2,5,4,4,1,4,1,4,1,4,4,satisfied
27,374,2,5,2,4,1,2,1,1,1,3,5,5,5,1,4,4,4,1,1,4,4,1,4,neutral or dissatisfied
44,2254,3,4,3,5,5,3,5,5,3,2,4,5,4,5,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
29,867,3,3,3,3,5,5,5,5,4,3,5,5,5,5,4,4,1,4,1,4,1,4,4,satisfied
62,1773,4,1,4,3,5,4,5,5,4,1,2,2,2,5,34,19,4,1,4,1,4,4,1,satisfied
23,1417,1,1,1,2,1,1,1,1,4,5,2,3,2,1,1,4,4,1,1,4,4,1,4,neutral or dissatisfied
37,1619,2,2,2,2,5,2,3,5,5,5,5,4,5,1,8,4,4,1,1,4,1,4,4,satisfied
54,2556,2,2,2,2,2,4,5,2,2,3,2,4,2,3,3,4,1,4,1,4,1,4,4,satisfied
24,67,2,5,2,4,2,4,4,3,3,4,5,4,3,4,228,232,1,4,4,1,4,4,1,neutral or dissatisfied
46,654,1,5,5,5,2,4,3,2,2,1,2,3,2,1,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
23,259,1,2,1,3,1,1,1,1,4,4,3,1,3,1,39,27,1,4,1,4,4,1,4,neutral or dissatisfied
28,2399,3,3,3,3,4,5,4,4,5,3,4,4,5,4,19,4,1,4,1,4,1,4,4,satisfied
52,837,2,2,4,4,3,3,3,2,2,2,2,1,2,3,4,8,1,4,1,4,4,4,1,neutral or dissatisfied
49,678,4,5,4,4,3,4,3,3,5,5,4,4,4,3,4,4,4,1,4,1,4,1,4,satisfied
43,3582,1,1,1,1,4,5,5,4,4,4,4,5,4,2,4,4,1,4,1,4,1,4,4,satisfied
64,372,5,5,4,5,5,3,3,5,5,5,5,1,5,5,38,31,1,4,1,4,4,4,1,satisfied
49,629,5,3,2,3,1,4,2,5,5,5,5,5,5,2,4,4,1,4,1,4,4,1,4,satisfied
37,2496,2,2,2,3,2,4,4,3,4,2,3,4,2,4,4,4,1,4,4,1,1,4,4,neutral or dissatisfied
49,444,3,5,3,2,3,3,3,3,5,3,5,3,5,3,43,35,4,1,4,1,4,1,4,neutral or dissatisfied
22,425,1,4,3,2,3,3,3,3,3,5,5,4,5,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
39,325,2,3,3,3,2,2,2,2,2,2,1,5,4,2,117,147,1,4,1,4,4,1,4,satisfied
56,1461,4,3,4,4,2,4,2,2,2,3,2,4,2,2,4,4,4,1,4,1,4,1,4,satisfied
42,644,4,3,4,3,3,4,3,3,1,3,3,4,2,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
45,2129,2,2,5,2,4,3,2,2,2,2,2,1,2,1,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
25,1416,2,2,2,2,3,4,3,3,4,3,5,5,4,3,4,4,4,1,1,4,1,4,4,satisfied
38,624,4,1,4,4,4,4,4,4,5,4,4,4,3,4,2,4,4,1,1,4,4,1,4,satisfied
58,1526,4,3,4,3,4,4,4,4,4,4,4,1,4,1,11,5,4,1,1,4,1,4,4,neutral or dissatisfied
23,244,4,4,3,2,1,3,1,1,5,5,4,4,4,1,6,5,4,1,1,4,1,4,4,satisfied
34,3223,3,5,5,5,4,3,3,3,3,3,3,1,3,4,1,4,4,1,1,4,1,4,4,neutral or dissatisfied
25,927,3,2,3,3,3,4,4,3,5,3,3,4,2,4,234,221,1,4,1,4,1,4,4,neutral or dissatisfied
56,1484,5,4,5,4,2,5,5,5,5,5,5,4,5,3,4,4,1,4,4,1,4,1,4,satisfied
22,571,3,4,2,3,4,2,4,4,4,1,4,4,5,4,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
52,515,5,2,2,2,4,2,3,5,5,5,5,3,5,5,4,6,1,4,1,4,4,1,4,satisfied
38,391,2,3,3,3,2,3,2,2,5,3,5,5,4,2,43,23,4,1,1,4,1,4,4,neutral or dissatisfied
11,733,2,1,2,2,2,2,2,2,2,2,4,1,3,2,4,4,4,1,1,4,1,4,4,neutral or dissatisfied
38,113,3,3,3,4,5,3,5,5,3,2,3,3,3,5,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
21,326,3,4,3,3,1,3,1,1,1,4,3,4,3,1,4,14,1,4,4,1,4,4,1,neutral or dissatisfied
49,224,4,4,4,4,5,4,4,5,5,5,5,4,5,3,4,3,1,4,1,4,1,4,4,satisfied
24,984,3,3,3,4,2,3,2,2,4,2,4,3,3,2,1,4,4,1,1,4,4,1,4,neutral or dissatisfied
25,824,3,3,3,4,3,4,4,3,1,4,3,4,3,4,4,24,1,4,1,4,4,1,4,neutral or dissatisfied
41,2874,4,4,4,4,2,5,5,1,1,1,1,4,1,3,57,42,1,4,1,4,1,4,4,satisfied
37,373,4,3,3,3,4,4,4,4,2,4,3,3,5,4,8,4,4,1,1,4,4,1,4,satisfied
65,158,3,4,3,1,5,3,5,5,3,4,5,4,4,5,8,8,4,1,4,1,4,1,4,neutral or dissatisfied
41,719,2,5,2,3,3,2,3,3,4,3,4,3,5,3,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
54,2647,1,1,2,1,5,5,5,3,5,2,3,5,4,5,294,284,1,4,1,4,1,4,4,satisfied
64,344,2,4,2,1,4,2,4,4,5,2,4,3,5,4,94,87,4,1,4,1,4,1,4,neutral or dissatisfied
32,2464,2,5,4,5,2,2,2,2,4,1,4,1,3,2,28,19,4,1,1,4,1,4,4,neutral or dissatisfied
64,634,3,3,3,3,5,4,4,4,4,4,4,5,4,3,4,4,4,1,1,4,1,4,4,satisfied
58,1447,2,2,2,2,3,5,4,5,5,5,5,5,5,5,4,4,4,1,1,4,1,4,4,satisfied
71,2598,5,5,5,5,2,5,4,4,4,4,4,4,4,5,4,4,4,1,1,4,1,4,4,satisfied
26,395,2,4,2,3,4,2,4,4,2,5,3,4,4,4,12,7,4,1,1,4,4,4,1,neutral or dissatisfied
54,612,4,2,2,2,4,4,4,4,2,5,1,3,1,4,4,4,4,1,1,4,4,1,4,satisfied
53,1942,4,4,4,4,2,4,4,3,3,4,3,3,3,5,4,4,4,1,1,4,1,4,4,satisfied
25,351,3,1,4,3,3,4,3,3,1,5,3,1,4,3,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
24,348,2,4,2,3,3,2,3,3,4,3,4,5,5,3,4,4,1,4,1,4,4,1,4,neutral or dissatisfied
57,417,4,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,4,4,satisfied
26,2493,1,1,3,1,4,4,4,4,2,4,3,4,1,4,4,4,4,1,1,4,1,4,4,satisfied
49,1485,2,5,2,3,5,4,5,1,1,2,2,3,1,3,1,4,1,4,4,1,4,1,4,neutral or dissatisfied
59,1658,2,4,4,4,2,4,3,2,2,2,2,4,2,2,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
34,594,4,4,4,4,2,4,2,2,3,1,3,3,3,2,18,32,4,1,1,4,4,4,1,neutral or dissatisfied
33,214,3,3,3,3,4,3,4,4,3,2,4,4,4,4,4,4,1,4,1,4,1,4,4,neutral or dissatisfied
48,1424,4,2,4,4,5,4,4,2,2,4,2,3,2,1,14,7,1,4,4,1,4,1,4,satisfied
36,934,1,1,1,1,3,5,4,1,1,2,1,3,1,4,4,4,4,1,1,4,1,4,4,satisfied
65,562,3,4,3,4,2,3,2,2,5,5,4,5,5,2,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
39,684,5,5,5,5,2,4,4,4,4,4,4,4,4,5,4,4,1,4,1,4,1,4,4,satisfied
12,544,2,2,2,2,5,2,5,5,3,3,3,3,3,5,1,4,1,4,4,1,4,1,4,neutral or dissatisfied
57,2694,1,1,4,1,5,4,4,5,5,4,5,5,5,4,4,4,1,4,1,4,1,4,4,satisfied
47,564,1,1,1,3,2,1,2,2,1,3,3,2,4,2,25,38,1,4,1,4,4,1,4,neutral or dissatisfied
36,1197,2,2,2,2,3,4,1,5,5,5,5,4,5,3,31,15,4,1,1,4,1,4,4,satisfied
39,746,3,3,3,3,4,4,5,2,2,2,2,5,2,4,4,4,1,4,1,4,1,4,4,satisfied
9,247,2,1,2,3,4,2,4,4,1,1,3,1,3,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
25,1846,2,2,2,2,3,3,3,3,3,4,3,3,5,3,4,4,4,1,1,4,1,4,4,satisfied
69,337,1,1,1,1,2,5,5,5,5,4,5,3,5,5,43,34,4,1,1,4,1,4,4,satisfied
74,237,2,2,2,2,2,4,4,2,2,2,2,4,2,1,2,11,4,1,1,4,1,4,4,neutral or dissatisfied
61,272,4,5,5,5,2,5,4,4,4,4,4,1,4,2,4,4,1,4,1,4,4,1,4,satisfied
57,313,2,5,2,1,4,4,5,5,5,2,5,3,5,4,5,4,4,1,4,1,1,4,4,neutral or dissatisfied
48,3212,4,4,5,4,2,1,4,5,5,5,5,3,5,3,4,4,1,4,1,4,1,4,4,satisfied
26,783,4,5,4,3,1,4,2,1,3,5,5,5,4,1,4,4,1,4,4,1,4,1,4,satisfied
32,1254,2,2,4,2,2,2,2,1,4,3,4,2,4,2,145,155,1,4,1,4,4,4,1,neutral or dissatisfied
49,2455,4,4,4,4,5,1,4,4,4,4,4,2,4,3,2,4,1,4,1,4,1,4,4,satisfied
9,817,2,2,2,3,2,2,1,2,1,1,3,3,3,2,4,4,1,4,4,1,4,1,4,neutral or dissatisfied
22,762,5,5,5,5,4,5,4,4,5,3,4,3,4,4,22,7,4,1,1,4,4,1,4,satisfied
34,2276,4,4,4,4,4,5,4,4,3,5,5,3,4,4,4,4,1,4,1,4,1,4,4,satisfied
26,1865,1,4,4,4,2,4,2,2,5,5,3,4,4,2,2,6,1,4,1,4,1,4,4,neutral or dissatisfied
53,936,1,4,4,4,3,3,3,1,1,2,1,1,1,4,8,28,1,4,1,4,1,4,4,neutral or dissatisfied
41,2444,4,4,4,4,2,4,2,2,1,2,3,4,4,2,4,4,1,4,4,1,4,1,4,satisfied
46,862,3,5,3,3,4,3,4,4,2,4,1,2,2,4,1,4,4,1,4,1,4,1,4,neutral or dissatisfied
13,2419,4,4,4,3,4,1,1,5,3,5,5,1,3,1,18,4,4,1,4,1,4,1,4,neutral or dissatisfied
15,2475,1,3,1,2,1,3,5,3,5,2,5,5,1,5,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
41,3874,2,3,2,2,4,5,4,5,5,5,5,3,5,4,4,4,1,4,1,4,1,4,4,satisfied
38,152,4,4,4,4,5,4,5,5,5,5,4,4,5,5,4,4,4,1,1,4,1,4,4,satisfied
34,1379,3,3,4,3,1,4,1,1,3,1,3,2,3,1,2,4,1,4,4,1,4,1,4,neutral or dissatisfied
32,1865,4,4,4,4,5,5,5,5,4,2,5,4,5,5,4,4,1,4,1,4,1,4,4,satisfied
39,3983,4,4,4,4,2,4,5,5,5,5,5,4,5,3,4,4,1,4,1,4,1,4,4,satisfied
58,1444,3,5,3,3,4,3,4,4,3,4,5,5,4,4,4,4,4,1,4,1,4,1,4,neutral or dissatisfied
49,274,2,4,3,4,2,4,4,2,2,2,2,3,2,3,8,4,1,4,1,4,1,4,4,neutral or dissatisfied
48,2133,3,3,3,3,4,3,5,5,5,5,5,4,5,4,4,4,4,1,1,4,1,4,4,satisfied
56,3891,4,4,4,4,2,1,1,5,5,5,5,5,5,1,4,4,1,4,1,4,1,4,4,satisfied
24,327,4,4,4,2,3,4,3,3,3,5,5,5,5,3,16,6,4,1,1,4,1,4,4,satisfied
